what,kind,bundleId,bundleVersion,description,time
activated,view,EBoxPlugin,1.1.0.201501280346,"com.amphisoft.ebox.eclipse.plugin.views.EboxView",1471604421724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604424486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604443362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604444937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604500732
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1471604503416
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1471604504040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471604504523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604506504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604507440
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1471604511528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604514289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604515896
activated,view,EBoxPlugin,1.1.0.201501280346,"com.amphisoft.ebox.eclipse.plugin.views.EboxView",1471604517190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604521808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604524164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604524554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604525490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604526379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604528750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604530326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604539701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604541495
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604549826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604559561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604567673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604569483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604611309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604612339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604659470
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1471604661591
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1471604662262
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1471604662808
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604665538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604666552
activated,view,EBoxPlugin,1.1.0.201501280346,"com.amphisoft.ebox.eclipse.plugin.views.EboxView",1471604667832
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604670812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1471604672840
