what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1476272477566
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1476272477567
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1476272477567
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1476272477569
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1476272477569
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1476272477569
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1476272477570
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1476272477570
started,bundle,org.eclipse.jst.common.frameworks,1.1.403.v201012160000,"org.eclipse.jst.common.frameworks",1476272477570
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1476272477571
started,bundle,org.eclipse.jst.j2ee.web,1.1.404.v201102030400,"org.eclipse.jst.j2ee.web",1476272477572
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1476272477572
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1476272477574
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1476272477575
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1476272477576
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1476272477577
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1476272477577
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1476272477577
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1476272477579
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1476272477580
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1476272477581
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1476272477581
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1476272477581
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1476272477582
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1476272477584
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1476272477585
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1476272477586
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1476272477587
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1476272477587
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1476272477589
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1476272477589
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1476272477590
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1476272477591
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1476272477591
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1476272477592
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1476272477594
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1476272477595
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1476272477596
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1476272477596
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1476272477597
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1476272477597
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1476272477599
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1476272477600
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1476272477600
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1476272477601
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1476272477602
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1476272477602
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1476272477604
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1476272477605
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1476272477607
started,bundle,org.tigris.subversion.subclipse.core,1.6.17,"org.tigris.subversion.subclipse.core",1476272477609
started,bundle,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui",1476272477611
started,bundle,org.vssplugin,1.6.2,"org.vssplugin",1476272477992
os,sysinfo,,,"win32",1476272477997
arch,sysinfo,,,"x86",1476272477997
ws,sysinfo,,,"win32",1476272477997
locale,sysinfo,,,"en_US",1476272477997
processors,sysinfo,,,"2",1476272477997
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1476272477997
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1476272477997
java.specification.name,sysinfo,,,"Java Platform API Specification",1476272477997
java.specification.vendor,sysinfo,,,"Oracle Corporation",1476272477997
java.specification.version,sysinfo,,,"1.8",1476272477997
java.vendor,sysinfo,,,"Oracle Corporation",1476272477997
java.version,sysinfo,,,"1.8.0_102",1476272477997
java.vm.info,sysinfo,,,"mixed mode",1476272477997
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1476272477997
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1476272477997
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1476272477997
java.vm.specification.version,sysinfo,,,"1.8",1476272477997
java.vm.vendor,sysinfo,,,"Oracle Corporation",1476272477997
java.vm.version,sysinfo,,,"25.102-b14",1476272477997
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1476272479009
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1476272479102
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1476272479227
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1476272479290
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1476272479477
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1476272479570
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1476272479586
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1476272479836
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.203.v20110201,"org.eclipse.jst.server.tomcat.core",1476272479914
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1476272480195
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1476272480257
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1476272480257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476272482017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476272486352
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1476272487287
started,bundle,de.anbos.eclipse.logviewer.plugin,0.9.8.7,"de.anbos.eclipse.logviewer.plugin",1476272487381
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1476272489170
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1476272489775
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1476272490336
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1476272490461
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1476272490461
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1476272490602
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1476272490789
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1476272490789
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1476272490945
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1476272491070
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1476272491085
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1476272491116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476272495703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476273239727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476273245545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476273277629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476273280546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476274597747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476274598402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476274599445
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476274599832
stopped,bundle,Java5Migration,1.0.0,"Java5Migration",1476274601709
stopped,bundle,LapsePlus,2.8.1,"LapsePlus",1476274601787
stopped,bundle,MigrationTool,1.0.0.200911201404,"MigrationTool",1476274601897
stopped,bundle,Other_Tools,1.0.0.200911201403,"Other_Tools",1476274601975
stopped,bundle,QualityTools,1.0.0.200911201403,"QualityTools",1476274602053
